outer_split,RMSE_selected,RMSE_baseline,MAE_selected,MAE_baseline,model_id
1,1.2939430786889943,1.3276396642981982,0.8700326002582079,0.9068185796435104,M6
2,1.3643232018464022,1.407250180724812,0.9224181899525948,0.9546088526732243,M6
3,1.396552798329013,1.4393980724998718,0.9623172982259409,0.9962216338006553,M7
4,1.3470711620200282,1.383520509242051,0.8833425341116006,0.9265016535304819,M7
5,1.3543488378228459,1.3826533278723891,0.8957487041627852,0.9258850614781012,M6
6,1.2651668672958556,1.309511816497358,0.8578733841982459,0.8984972507697357,M6
7,1.138838264747805,1.158488548352338,0.7879742287550956,0.8170690518569346,M6
8,1.382109074621084,1.389616993009129,0.9000162933825273,0.919555002452756,M6
9,1.245313706565505,1.2814783845180377,0.8447529790954826,0.8772435887115558,M6
10,1.3465030142590106,1.372450987930703,0.9042142686815389,0.9312457100889568,M7
11,1.250947490047511,1.2970827445995785,0.8365712386187302,0.8699589518607891,M7
12,1.3455673902538787,1.3578433212001637,0.8602492012320949,0.8882902582840492,M6
13,1.3155104343512254,1.3574222161532856,0.8825105743568811,0.9250579683864687,M7
14,1.2945402128537074,1.3252130644428752,0.8540545157374553,0.8851060814617808,M7
15,1.2862738007902481,1.3137922476780046,0.894607079254728,0.9226393670319503,M6
16,1.4498200523282991,1.4879043330511195,0.9652658528567816,0.9985386755735706,M6
17,1.2048556959683516,1.2504994002886884,0.8491281621596987,0.8936980371633026,M6
18,1.357209911036305,1.3890215717264194,0.9265538823024008,0.9615222998525662,M6
19,1.412381461103973,1.4190030694175082,0.9174892651847768,0.9282597023636121,M7
20,1.2138438840675922,1.2588825490694353,0.8414529395473525,0.8814454252615969,M7
21,1.3657433365029947,1.409875962897512,0.8993021541698346,0.937431259426444,M7
22,1.297477128172072,1.3377346820622007,0.8648418708786171,0.9058005435923921,M6
23,1.2368274491883342,1.2688522133374673,0.8493471074007362,0.8762401036755958,M6
24,1.3431425086432849,1.3914800966601286,0.8873700322936494,0.9351275281816769,M7
25,1.370047916895177,1.3912656814154523,0.8825955560813525,0.9253365967427061,M7
26,1.362324462314719,1.3850313609758802,0.903240830965631,0.9367170806792943,M7
27,1.2920600156036361,1.335003113378037,0.8822009736228559,0.9098784763101843,M6
28,1.2646612938845392,1.2968976075044834,0.8583608418733695,0.8884511714817994,M7
29,1.3305431328396784,1.3530676657095206,0.9138876112954214,0.944012727555561,M7
30,1.2789487291390196,1.2966068359713734,0.8856251051492022,0.8954634838053651,M7
31,1.2985223178251295,1.3385671518323947,0.8814880679967313,0.9109313303078879,M6
32,1.2745183025571083,1.3147579938242293,0.8609952710416487,0.903181720690129,M6
33,1.3116231501569606,1.3407555622575975,0.8494742856867776,0.889719243397626,M6
34,1.2923325308961542,1.3299264025881024,0.8442530814704021,0.8847115374774643,M6
35,1.279336200129623,1.3176539170172974,0.900062760014562,0.9330148866529051,M7
36,1.266215621381229,1.3027525670472575,0.8432689445699965,0.8768858573188995,M7
37,1.3153888561321028,1.3488768063375625,0.8950052687050593,0.927238245988468,M7
38,1.4462291591208816,1.4454030427746045,0.9668851872830303,0.9846826356832338,M7
39,1.3154849209311206,1.3589988390476395,0.8690621694935042,0.9049254215334,M7
40,1.338716745318522,1.3680507936324044,0.9150402122625111,0.9376469770345794,M7
41,1.258523695561211,1.2954595888753355,0.8597771489450637,0.8832774116342165,M6
42,1.2951368496004014,1.3294086439514448,0.8880145528465753,0.9196466153873609,M7
43,1.2556958751051486,1.2877107718416627,0.8544055053378605,0.8937390211898288,M7
44,1.4028496626502525,1.4186836884582588,0.9301690055659957,0.9585915239011104,M7
45,1.2026471270570258,1.2605627934930117,0.8109876911424351,0.8634178422985185,M6
46,1.3905730064149746,1.4197686936905998,0.8979961959998249,0.9264334461363185,M7
47,1.3404028109060244,1.3640370004543607,0.9215681043744116,0.9464005092573006,M7
48,1.326171259097069,1.3819385430711595,0.8847233305629887,0.9275595897247466,M7
49,1.3719576776064224,1.3799478200240463,0.9097019444736317,0.9325793261126726,M7
50,1.2905739514847496,1.3261747890382471,0.8676023640175486,0.9021959032360779,M7
